JavaFile,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/Signer.java,2,2,2,1,17,0,11,6,1,0,2,5,5,5,1,5,0,0,2,3,123,9,68,31,38,46,39,53,31,22,5,5,5,4,3,0.68,13,13,14,8
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/SignerException.java,1,1,1,1,8,0,3,5,1,0,1,1,1,1,0,1,0,0,0,1,31,3,7,4,2,21,3,5,4,1,1,1,1,1,0,3,1,1,1,1
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/SignerSecretProvider.java,1,1,1,1,4,0,1,3,1,0,0,1,4,4,0,4,0,0,0,4,63,5,14,13,0,44,8,10,10,0,1,1,1,1,0,3.14,1,1,1,1
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/ZKSignerSecretProvider.java,2,2,2,1,16,0,12,3,3,0,14,18,18,18,11,18,0,6,4,8,491,36,308,140,179,150,167,206,108,98,6,6,7,1,3,0.49,39,39,44,18
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/util/PlatformName.java,1,1,1,1,3,0,3,0,1,1,3,1,1,0,0,1,0,0,0,1,55,6,17,11,7,32,7,9,8,1,1,1,1,1,0,1.88,1,1,1,1
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/KerberosTestUtils.java,1,1,1,1,8,0,8,0,3,7,1,10,10,3,1,10,0,0,0,10,140,17,105,38,57,20,59,76,37,39,5,5,5,1,2,0.19,16,16,16,10
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/client/AuthenticatorTestCase.java,1,1,1,1,8,0,8,0,5,1,1,20,20,17,6,18,0,2,12,4,266,31,216,103,110,22,136,169,96,73,4,4,4,1,2,0.1,28,28,28,20
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/client/TestAuthenticatedURL.java,1,1,1,1,12,1,10,0,1,0,0,6,6,6,0,6,0,0,0,6,118,21,83,43,51,15,56,64,36,28,3,3,3,1,1,0.18,8,8,8,6
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/client/TestKerberosAuthenticator.java,1,1,1,1,9,0,9,0,7,0,0,21,21,21,0,21,0,2,0,19,250,22,209,77,131,21,117,141,69,72,1,1,1,1,1,0.1,21,21,21,21
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/client/TestPseudoAuthenticator.java,1,1,1,1,8,0,8,0,1,0,0,8,8,8,0,8,0,1,0,7,106,12,81,36,46,13,44,55,29,26,1,1,1,1,1,0.16,8,8,8,8
