JavaFile,AbortPercent,ReturnPercent,EmptyAction,NestedTryPercent,ThrowNewPercent,ToDoCount,DefaultPercent,LogActionCount,MethodCountPercent,ThrowCurrentPercent,ThrowWrapPercent,TryCallDepth,TryQuantity,TrySLOC,TryLOC,TryInvokeMethod,TryScope
hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3a/TestListing.java,100,100,0,0,0,0,0,0,0,0,0,1,1,2,2,2,1
hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3a/ITestS3AMiscOperations.java,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,2
hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3a/ITestS3ABlockOutputArray.java,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,1
hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3a/ITestS3AAWSCredentialsProvider.java,75,0,0,0,0,0,25,0,25,0,0,1,3,3,3,0,3
hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3a/ITestS3GuardCreate.java,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,3,1
hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3a/ITestS3AMetrics.java,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3a/ITestS3GuardListConsistency.java,100,0,0,0,0,0,100,0,0,0,0,1,2,3,3,2,2
hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3a/ITestBlockingThreadPoolExecutorService.java,100,0,0,0,0,100,0,0,0,0,0,1,3,3,3,3,3
hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3a/TestDataBlocks.java,0,0,0,0,0,0,0,0,0,0,0,1,1,43,48,24,1
hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3a/ITestS3ACredentialsInURL.java,66,0,0,0,33,0,0,0,0,0,0,1,2,5,5,5,2
hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3a/ITestS3ATemporaryCredentials.java,100,0,0,0,0,0,0,0,0,0,0,1,2,3,3,1,2
hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3a/ITestS3AMultipartUtils.java,0,0,0,0,0,0,0,0,0,0,0,1,1,7,12,3,1
hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3a/ITestS3AConfiguration.java,71,0,0,0,0,42,28,0,0,0,0,1,7,20,20,12,7
hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3a/ITestS3AFailureHandling.java,0,0,0,0,0,0,0,0,0,0,0,1,1,16,27,14,1
hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3a/ITestS3AFileOperationCost.java,0,0,0,0,0,0,0,0,0,0,0,1,2,39,45,27,2
hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3a/ITestS3AInconsistency.java,100,0,0,0,0,0,0,0,0,0,0,1,3,11,14,8,3
hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3a/S3ATestUtils.java,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,2,2
hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3a/auth/ITestAssumeRole.java,0,0,0,0,0,0,0,0,0,0,0,1,5,18,25,17,5
hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3a/commit/AbstractCommitITest.java,100,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2
hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3a/commit/AbstractITCommitMRJob.java,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,2,2
hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3a/commit/ITestCommitOperations.java,0,0,0,0,0,0,0,0,0,0,0,1,2,6,6,6,2
hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3a/commit/AbstractITCommitProtocol.java,83,0,0,0,0,0,16,0,0,0,0,1,15,50,56,31,15
hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3a/commit/magic/ITestS3AHugeMagicCommits.java,100,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2
hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3a/commit/staging/MockedStagingCommitter.java,100,0,100,0,0,0,100,0,0,0,0,1,2,3,3,3,2
hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3a/commit/staging/TestStagingCommitter.java,100,0,0,0,0,0,100,0,0,0,0,1,2,3,3,3,2
hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3a/commit/staging/TestStagingPartitionedFileListing.java,0,0,0,0,0,0,0,0,0,0,0,1,2,12,12,10,2
hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3a/fileContext/ITestS3AFileContextURI.java,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3a/s3guard/AbstractS3GuardToolTestBase.java,50,0,0,0,0,0,0,0,0,0,0,1,3,13,13,7,3
hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3a/s3guard/ITestS3GuardToolLocal.java,100,0,0,0,0,0,0,0,50,0,0,1,5,27,41,10,5
hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3a/s3guard/TestDynamoDBMetadataStore.java,80,0,20,0,0,0,60,0,0,0,0,1,8,27,31,19,8
hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3a/s3guard/ITestDynamoDBMetadataStoreScale.java,100,0,100,0,0,0,100,0,0,0,0,1,4,11,35,9,4
hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3a/s3guard/MetadataStoreTestBase.java,100,0,0,0,0,0,0,0,100,0,0,1,1,1,1,1,1
hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3a/s3guard/DynamoDBLocalClientFactory.java,100,0,0,0,0,0,0,0,0,0,0,1,2,6,7,5,2
hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3a/s3guard/ITestS3GuardConcurrentOps.java,100,0,0,0,0,0,0,0,0,0,0,1,3,7,7,7,3
hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3a/s3guard/ITestS3GuardToolDynamoDB.java,66,33,33,0,0,0,33,0,0,0,0,1,3,40,53,29,3
hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3a/scale/AbstractSTestS3AHugeFiles.java,100,0,100,0,0,0,0,0,0,0,0,1,5,25,27,20,5
hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3a/scale/ITestS3ADeleteManyFiles.java,100,0,100,0,0,0,0,0,0,0,0,1,2,4,4,4,2
hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3a/scale/ITestS3AInputStreamPerformance.java,100,0,0,0,0,0,66,0,33,0,0,1,4,11,11,6,4
hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3a/scale/ITestS3ADirectoryPerformance.java,0,0,0,0,0,0,0,0,0,0,0,1,1,13,18,8,1
hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3a/scale/AbstractITestS3AMetadataStoreScale.java,0,0,0,0,0,0,0,0,0,0,0,1,4,10,16,5,4
hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3a/scale/ITestS3AConcurrentOps.java,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3a/yarn/ITestS3A.java,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3a/yarn/ITestS3AMiniYarnCluster.java,0,0,0,0,0,0,0,0,0,0,0,1,2,5,5,3,2
hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3native/TestS3xLoginHelper.java,100,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1
hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/WasbRemoteCallHelper.java,33,16,33,0,0,16,0,0,16,0,0,0,5,23,23,17,5
hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/ShellDecryptionKeyProvider.java,100,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/PageBlobInputStream.java,100,0,0,0,0,0,0,0,0,0,0,0,3,5,7,3,3
hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/RemoteSASKeyGeneratorImpl.java,50,0,33,0,0,0,0,0,0,0,0,0,3,25,25,21,3
hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/BlockBlobInputStream.java,100,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3
hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/SelfRenewingLease.java,60,0,0,40,60,40,0,0,20,0,0,0,5,5,7,5,5
hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/ClientThrottlingAnalyzer.java,100,0,0,0,0,100,0,0,0,0,0,0,2,5,6,4,2
hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/SecureWasbRemoteCallHelper.java,100,0,50,0,0,50,0,0,0,0,0,0,2,2,2,2,2
hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/LocalSASKeyGeneratorImpl.java,30,0,15,0,0,0,0,0,0,0,0,0,6,22,22,12,6
hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/NativeAzureFileSystem.java,50,25,0,1,3,14,3,0,5,0,0,0,51,74,94,60,51
hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/WasbFsck.java,100,100,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/BlockBlobAppendStream.java,63,0,18,9,0,63,0,0,0,0,0,0,10,25,29,21,10
hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/SecureStorageInterfaceImpl.java,100,0,25,0,0,0,0,0,0,0,0,0,4,11,11,8,4
hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/SelfThrottlingIntercept.java,100,0,0,0,0,100,0,0,0,0,0,0,1,1,5,1,1
hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/AzureNativeFileSystemStore.java,70,10,8,8,10,10,2,0,2,2,0,0,32,121,244,60,32
hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/RemoteWasbAuthorizerImpl.java,100,0,0,0,0,0,0,0,0,0,0,0,1,8,8,8,1
hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/PageBlobOutputStream.java,66,0,0,0,16,66,0,0,0,0,0,0,6,14,15,12,6
hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/SimpleKeyProvider.java,100,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,1
