"","JavaFile","AvgCyclomatic","AvgCyclomaticModified","AvgCyclomaticStrict","AvgEssential","AvgLine","AvgLineBlank","AvgLineCode","AvgLineComment","CountDeclClass","CountDeclClassMethod","CountDeclClassVariable","CountDeclExecutableUnit","CountDeclFunction","CountDeclInstanceMethod","CountDeclInstanceVariable","CountDeclMethod","CountDeclMethodDefault","CountDeclMethodPrivate","CountDeclMethodProtected","CountDeclMethodPublic","CountLine","CountLineBlank","CountLineCode","CountLineCodeDecl","CountLineCodeExe","CountLineComment","CountSemicolon","CountStmt","CountStmtDecl","CountStmtExe","MaxCyclomatic","MaxCyclomaticModified","MaxCyclomaticStrict","MaxEssential","MaxNesting","RatioCommentToCode","SumCyclomatic","SumCyclomaticModified","SumCyclomaticStrict","SumEssential","UniqueAuthors","TotalCodeChurn","TotalNumOfChanges","PostReleaseBugs","PreReleaseBugs","CatchQuantity","CatchSLOC","CatchLOC","OverCatchAntiPattern","AbortAndOvercatch","CatchAndReturnNull","CatchAndDoNothing","CatchGeneric","DummyHandler","LogAndReturnNull","MultiLineLog","NestedTry","RelyingOnGetCause","IncompleteImplementation","DestructiveWrapping","CatchRecoverability","AbortPercent","ReturnPercent","EmptyAction","NestedTryPercent","ThrowNewPercent","ToDoCount","DefaultPercent","LogActionCount","MethodCountPercent","ThrowCurrentPercent","ThrowWrapPercent","TryCallDepth","TryQuantity","TrySLOC","TryLOC","TryInvokeMethod","TryScope"
"11","hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/server/MultiSchemeAuthenticationHandler.java",2,2,2,1,12,0,10,1,1,0,5,9,9,9,3,9,0,0,1,8,210,22,137,71,65,51,60,84,49,35,5,5,5,4,3,0.37,18,18,18,12,3,220,2,0,0,1,2,2,0,0,0,0,1,1,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,6,1,7,7,6,1
"12","hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/CertificateUtil.java",4,4,4,1,32,1,23,8,1,1,2,1,1,0,0,1,0,0,0,1,66,5,36,20,21,25,23,27,19,8,4,4,4,1,2,0.69,4,4,4,1,4,68,2,0,0,2,4,4,1,0,0,0,1,0,0,0,0,0,0,0,2,50,0,0,0,0,0,0,0,0,0,0,2,1,4,4,4,1
"13","hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/FileSignerSecretProvider.java",2,2,2,1,10,0,9,0,1,0,0,4,4,4,2,4,0,0,0,4,84,11,56,28,24,17,25,35,21,14,6,6,6,1,3,0.3,9,9,9,4,2,84,1,0,0,2,1,2,0,0,0,1,1,0,0,0,0,0,1,0,2,50,0,0,0,50,0,50,0,0,0,0,6,2,6,6,6,2
"14","hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/KerberosName.java",2,2,2,1,14,0,11,3,4,9,7,22,22,13,11,22,10,0,0,12,445,37,294,89,170,114,138,201,78,123,8,8,11,5,4,0.39,59,59,64,26,14,124,12,0,0,3,4,4,0,0,0,0,3,0,0,0,0,0,0,0,3,100,0,0,0,0,0,0,0,0,0,0,6,3,5,5,5,3
"15","hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/KerberosUtil.java",2,2,2,1,12,0,9,3,2,15,5,26,26,11,2,26,8,3,0,15,454,34,284,110,146,138,139,199,99,100,6,6,6,3,3,0.49,60,60,68,30,15,512,11,0,0,7,3,9,1,0,0,2,5,0,0,0,0,0,0,0,7,71,0,0,0,0,0,28,0,0,0,0,2,5,8,8,7,5
"16","hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/Signer.java",2,2,2,1,17,0,11,6,1,0,2,5,5,5,1,5,0,0,2,3,123,9,68,31,38,46,39,53,31,22,5,5,5,4,3,0.68,13,13,14,8,6,73,4,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,2,1,5,5,4,1
"17","hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/ZKSignerSecretProvider.java",2,2,2,1,16,0,12,3,3,0,14,18,18,18,11,18,0,6,4,8,491,36,308,140,179,150,167,206,108,98,6,6,7,1,3,0.49,39,39,44,18,9,571,10,0,0,4,4,4,0,0,0,0,3,0,0,0,0,0,0,0,4,75,0,0,0,0,0,0,0,0,0,0,2,3,16,19,11,3
"18","hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/client/AuthenticatorTestCase.java",1,1,1,1,8,0,8,0,5,1,1,20,20,17,6,18,0,2,12,4,266,31,216,103,110,22,136,169,96,73,4,4,4,1,2,0.1,28,28,28,20,7,319,9,0,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,50,0,0,0,0,0,50,0,50,0,0,2,5,26,30,23,5
"19","hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/client/TestAuthenticatedURL.java",1,1,1,1,12,1,10,0,1,0,0,6,6,6,0,6,0,0,0,6,118,21,83,43,51,15,56,64,36,28,3,3,3,1,1,0.18,8,8,8,6,3,109,4,0,0,2,2,3,1,0,0,0,1,0,0,0,0,0,0,0,2,50,0,0,0,0,50,0,0,0,0,0,2,1,2,2,2,1
"20","hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/client/TestKerberosAuthenticator.java",1,1,1,1,9,0,9,0,7,0,0,21,21,21,0,21,0,2,0,19,250,22,209,77,131,21,117,141,69,72,1,1,1,1,1,0.1,21,21,21,21,9,335,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,10,10,10,2
